CD_SETOR;NM_MUN;indice_01;escore_F1;escore_F2;escore_composto;escore_composto_bruto
330455705120215;Rio de Janeiro;0.341347;1.191545;-1.178869;0.362802;0.212362
330455705120216;Rio de Janeiro;0.361416;0.870498;-0.898926;0.251873;0.14635
330455705120217;Rio de Janeiro;0.349482;0.810244;-0.965505;0.189408;0.09062
330455705120218;Rio de Janeiro;0.359916;0.98271;-0.988339;0.293593;0.130794
330455705120219;Rio de Janeiro;0.345442;0.318704;-1.087931;-0.173083;-0.117701
330455705120220;Rio de Janeiro;0.34216;0.367993;-1.091772;-0.142369;-0.099745
330455705120223;Rio de Janeiro;0.380015;0.545764;0.18121;0.418309;0.152302
330455705120224;Rio de Janeiro;0.398279;0.901684;0.899871;0.90105;0.331473
330455705120225;Rio de Janeiro;0.36558;1.209618;-0.450231;0.629303;0.209028
330455705120227;Rio de Janeiro;0.355903;0.349739;-0.094009;0.194596;-0.064471
330455705120228;Rio de Janeiro;0.368263;0.875298;-1.004417;0.218113;0.132169
330455705130002;Rio de Janeiro;0.257193;-1.640526;-0.459768;-1.22771;-1.128316
330455705130003;Rio de Janeiro;0.252794;-1.678075;-0.447633;-1.247889;-1.197903
330455705130004;Rio de Janeiro;0.26914;-1.545228;-0.442313;-1.159628;-0.879718
330455705130005;Rio de Janeiro;0.26137;-1.613316;-0.452693;-1.20754;-1.01803
330455705130006;Rio de Janeiro;0.256966;-1.536876;-0.487397;-1.169958;-1.033816
330455705130008;Rio de Janeiro;0.262094;-1.556977;-0.495112;-1.185729;-1.09474
330455705130012;Rio de Janeiro;0.267678;-1.427054;-0.514814;-1.108117;-0.902856
330455705130015;Rio de Janeiro;0.297025;-0.958168;-0.644411;-0.848472;-0.548101
330455705130016;Rio de Janeiro;0.251744;-1.493166;-0.471057;-1.135817;-1.001391
330455705130017;Rio de Janeiro;0.253958;-1.583856;-0.449722;-1.187341;-1.067976
330455705130020;Rio de Janeiro;0.242128;-1.653057;-0.414897;-1.220172;-1.216365
330455705130028;Rio de Janeiro;0.256272;-1.631117;-0.455894;-1.220236;-1.050917
330455705130029;Rio de Janeiro;0.254977;-1.553925;-0.443435;-1.165676;-1.039166
330455705130033;Rio de Janeiro;0.244885;-1.669634;-0.346034;-1.206877;-1.184853
330455705130034;Rio de Janeiro;0.24887;-1.556104;-0.492326;-1.184187;-1.187656
330455705130036;Rio de Janeiro;0.241465;-1.716171;-0.441371;-1.270477;-1.21398
330455705130039;Rio de Janeiro;0.276767;-1.305004;-0.571011;-1.048386;-0.807567
330455705130040;Rio de Janeiro;0.289743;-1.030786;-0.61087;-0.883975;-0.579857
330455705130041;Rio de Janeiro;0.404837;0.766313;0.195842;0.566865;0.341358
330455705130042;Rio de Janeiro;0.479649;1.21098;1.583551;1.341238;0.908733
330455705130043;Rio de Janeiro;0.419843;1.080304;1.208015;1.124955;0.498182
330455705130044;Rio de Janeiro;0.382632;0.995813;-0.856375;0.348252;0.22302
330455705130045;Rio de Janeiro;0.408222;1.445138;-0.867511;0.636591;0.580549
330455705130046;Rio de Janeiro;0.419244;1.027797;1.089395;1.049333;0.418001
330455705130047;Rio de Janeiro;0.568008;1.056666;1.769492;1.305884;0.933127
330455705130048;Rio de Janeiro;0.421236;0.566272;1.758155;0.982978;0.399179
330455705130049;Rio de Janeiro;0.268987;-1.635821;0.673237;-0.828529;-0.890723
330455705130050;Rio de Janeiro;0.251345;-1.64999;-0.414021;-1.217871;-1.036326
330455705130051;Rio de Janeiro;0.266594;-1.260681;-0.119258;-0.861617;-0.8303
330455705130055;Rio de Janeiro;0.230462;-1.73925;-0.3242;-1.244521;-1.511394
330455705130058;Rio de Janeiro;0.240052;-1.48879;-0.520905;-1.150398;-1.205708
330455705130063;Rio de Janeiro;0.262934;-1.263708;-0.590563;-1.028363;-0.911588
330455705130065;Rio de Janeiro;0.255398;-1.560539;-0.451508;-1.1728;-0.990835
330455705130066;Rio de Janeiro;0.238251;-1.704336;-0.364048;-1.235746;-1.191672
330455705130071;Rio de Janeiro;0.253935;-1.403185;-0.544669;-1.103031;-1.026085
330455705130072;Rio de Janeiro;0.263811;-1.354968;-0.567094;-1.079512;-0.980926
330455705130074;Rio de Janeiro;0.272386;-1.592952;-0.440643;-1.190082;-1.019613
330455705130075;Rio de Janeiro;0.235836;-1.781338;-0.410193;-1.301959;-1.400727
330455705130076;Rio de Janeiro;0.245396;-1.553773;-0.474357;-1.176388;-1.191058
330455705130077;Rio de Janeiro;0.276971;-1.363203;-0.508935;-1.064534;-0.877514
330455705130078;Rio de Janeiro;0.26356;-1.503232;-0.481461;-1.146001;-1.033199
330455705130081;Rio de Janeiro;0.269411;-1.373791;-0.518807;-1.074872;-0.895092
330455705130082;Rio de Janeiro;0.261162;-1.443793;-0.454095;-1.097775;-0.952093
330455705130084;Rio de Janeiro;0.277334;-1.457061;-0.505827;-1.124491;-0.933521
330455705130089;Rio de Janeiro;0.253559;-1.659676;-0.403288;-1.220419;-1.08454
330455705130091;Rio de Janeiro;0.263896;-1.408745;-0.492326;-1.088347;-0.927076
330455705130092;Rio de Janeiro;0.256327;-1.617771;-0.436662;-1.204833;-0.986048
330455705130099;Rio de Janeiro;0.250672;-1.602963;-0.467139;-1.205857;-1.144508
330455705130101;Rio de Janeiro;0.264387;-1.439625;-0.446516;-1.092415;-1.007816
