CD_UF;indicador;dimensao;componente_ivs;n_setores;media_entre_setores;dp_entre_setores;p25;mediana;p75;razao_agregada
51;pct_sem_banheiro_nem_sanitario;Saneamento;False;5501;0.000025;0.000827;0.000000;0.000000;0.000000;0.000030
51;pct_resp_feminino;Socioeconômica;False;5633;0.485561;0.118154;0.409091;0.491979;0.569444;0.488464
51;pct_crianca_0a4;Demografia;False;5597;0.073533;0.022726;0.058091;0.072983;0.087719;0.076683
51;pct_pop_0a14;Demografia;False;5640;0.215415;0.052524;0.182609;0.217131;0.250000;0.225097
51;pct_idoso_60mais;Demografia;False;5627;0.126702;0.062922;0.080000;0.117577;0.165467;0.113319
51;iep_setor;Demografia;False;5594;67.864819;53.538817;32.885382;53.984127;88.349146;50.343020
51;rdi_setor;Demografia;False;5626;19.893771;11.472824;11.904762;17.730496;25.840356;17.133560
51;prop_70mais_entre_60mais;Demografia;False;5498;39.775142;10.591557;33.333333;39.393939;45.945946;40.412250
52;pct_agua_inad;Saneamento;True;10360;0.117635;0.231261;0.000000;0.022490;0.102186;0.092454
52;pct_esgoto_inad;Saneamento;True;10360;0.238263;0.351834;0.000000;0.025568;0.406016;0.219574
52;pct_lixo_inad;Saneamento;True;10360;0.061252;0.190059;0.000000;0.000000;0.011183;0.042638
52;razao_moradores;Socioeconômica;True;10360;2.724928;0.308207;2.538854;2.734915;2.927553;2.739486
52;pct_analfab;Socioeconômica;True;9747;0.055820;0.041940;0.025478;0.046569;0.075889;0.052168
52;renda_media;Socioeconômica;True;10360;3071.157558;2437.939984;1927.610000;2377.770000;3200.230000;3071.157558
52;pct_raca_pretpardind;Socioeconômica;True;10360;0.622823;0.128448;0.553013;0.643463;0.714584;0.631731
52;pct_dom_improv;Morfologia;False;9426;0.000905;0.016900;0.000000;0.000000;0.000000;0.000784
52;pct_hab_precaria;Morfologia;False;10360;0.008806;0.038693;0.000000;0.000000;0.000000;0.008582
52;pct_moradia_convencional;Morfologia;False;10360;0.989117;0.036573;0.993421;1.000000;1.000000;0.989849
52;pct_moradia_nao_convencional;Morfologia;False;10360;0.008047;0.035259;0.000000;0.000000;0.000000;0.007923
52;pct_apartamento;Morfologia;False;9069;0.118290;0.267135;0.000000;0.000000;0.055249;0.130633
52;pct_casa;Morfologia;False;10222;0.874049;0.254686;0.911676;0.987500;1.000000;0.864928
52;pct_casa_vila_condominio;Morfologia;False;9041;0.026540;0.110608;0.000000;0.000000;0.000000;0.026632
52;pct_sem_agua_canalizada;Saneamento;False;10351;0.013928;0.067736;0.000000;0.000000;0.006024;0.988804
52;pct_agua_nao_encanada;Saneamento;False;9111;0.004650;0.046150;0.000000;0.000000;0.000000;0.003233
52;pct_agua_so_terreno;Saneamento;False;7983;0.010271;0.063021;0.000000;0.000000;0.000000;0.008708
52;pct_sem_banheiro;Saneamento;False;9059;0.000919;0.019605;0.000000;0.000000;0.000000;0.000517
52;pct_sem_banheiro_nem_sanitario;Saneamento;False;10101;0.000035;0.001544;0.000000;0.000000;0.000000;0.000020
52;pct_resp_feminino;Socioeconômica;False;10300;0.483085;0.108613;0.412219;0.488177;0.560656;0.485486
52;pct_crianca_0a4;Demografia;False;10220;0.063906;0.020999;0.049721;0.063127;0.077423;0.066484
52;pct_pop_0a14;Demografia;False;10331;0.196312;0.052968;0.162883;0.196147;0.232071;0.205138
52;pct_idoso_60mais;Demografia;False;10330;0.144410;0.075300;0.086072;0.135022;0.190938;0.130871
52;iep_setor;Demografia;False;10227;87.577639;78.305533;37.660739;68.478261;114.285714;63.790238
52;rdi_setor;Demografia;False;10328;23.086506;16.954256;12.546313;20.233581;29.971383;19.715809
52;prop_70mais_entre_60mais;Demografia;False;10158;41.022067;9.792152;34.883721;41.176471;47.222222;42.628955
53;pct_agua_inad;Saneamento;True;4924;0.053709;0.201115;0.000000;0.000000;0.000000;0.040905
53;pct_esgoto_inad;Saneamento;True;4924;0.047458;0.183328;0.000000;0.000000;0.000000;0.039764
53;pct_lixo_inad;Saneamento;True;4924;0.130404;0.274931;0.000000;0.000000;0.062993;0.122922
53;razao_moradores;Socioeconômica;True;4924;2.836984;0.461941;2.627916;2.914020;3.136869;2.822023
53;pct_analfab;Socioeconômica;True;4120;0.029184;0.023564;0.010667;0.025705;0.043165;0.028475
53;renda_media;Socioeconômica;True;4924;5718.579190;4947.759416;2317.635000;3518.495000;7471.892500;5718.579190
53;pct_raca_pretpardind;Socioeconômica;True;4924;0.579036;0.162634;0.478261;0.628838;0.699878;0.590200
53;pct_dom_improv;Morfologia;False;4628;0.000666;0.011823;0.000000;0.000000;0.000000;0.000421
53;pct_hab_precaria;Morfologia;False;4924;0.008811;0.043931;0.000000;0.000000;0.000000;0.008308
53;pct_moradia_convencional;Morfologia;False;4924;0.989062;0.043108;0.993827;1.000000;1.000000;0.989825
53;pct_moradia_nao_convencional;Morfologia;False;4924;0.008242;0.042509;0.000000;0.000000;0.000000;0.007956
53;pct_apartamento;Morfologia;False;4491;0.361203;0.411212;0.023502;0.125000;0.941853;0.383047
53;pct_casa;Morfologia;False;4681;0.656669;0.390698;0.263158;0.867647;0.975728;0.633272
53;pct_casa_vila_condominio;Morfologia;False;4463;0.039012;0.153140;0.000000;0.000000;0.000000;0.040691
53;pct_sem_agua_canalizada;Saneamento;False;4920;0.004951;0.035097;0.000000;0.000000;0.000000;0.996126
53;pct_agua_nao_encanada;Saneamento;False;4692;0.001088;0.015019;0.000000;0.000000;0.000000;0.000897
53;pct_agua_so_terreno;Saneamento;False;4351;0.003626;0.038769;0.000000;0.000000;0.000000;0.002867
53;pct_sem_banheiro;Saneamento;False;4551;0.000441;0.008063;0.000000;0.000000;0.000000;0.000340
53;pct_sem_banheiro_nem_sanitario;Saneamento;False;4857;0.000019;0.000811;0.000000;0.000000;0.000000;0.000032
53;pct_resp_feminino;Socioeconômica;False;4916;0.499162;0.094382;0.448613;0.507408;0.560976;0.498887
53;pct_crianca_0a4;Demografia;False;4870;0.058145;0.020231;0.044782;0.057299;0.070377;0.059396
53;pct_pop_0a14;Demografia;False;4909;0.184385;0.053057;0.151899;0.185053;0.215894;0.189701
53;pct_idoso_60mais;Demografia;False;4910;0.136778;0.071676;0.083333;0.129246;0.175000;0.130401
53;iep_setor;Demografia;False;4880;91.151414;100.601082;41.763897;71.263298;112.879272;68.784053
53;rdi_setor;Demografia;False;4910;21.192385;19.036149;11.559498;19.016245;26.705066;19.177350
53;prop_70mais_entre_60mais;Demografia;False;4821;41.265757;11.924949;32.911392;40.625000;49.624060;43.686849
